CSA2010,Total Population (2010),Total Male Population (2010),Total Female Population (2010),Percent of Residents - Black/African-American (2010),Percent of Residents - White/Caucasian (2010),Percent of Residents - Asian (2010),Percent of Residents - Two or More Races (2010),"Percent of Residents - All Other Races (Hawaiian/ Pacific Islander, Alaskan/ Native American Other Race) (2010)",Percent of Residents - Hispanic (2010),Racial Diversity Index (2010),Percent of Population 0-5 years old (2010),Percent of Population 6-18 years old (2010),Percent of Population 19-24 years old (2010),Percent of Population 25-64 years old (2010),Percent of Population 65 years and over (2010),Total Number of Households (2010),Percent of Female-Headed Households with Children under 18 (2010),Percent of Households with Children Under 18 (2010),Average Household Size (2010),Median Household Income (2010-2014),"Percent of Households Earning Less than $25,000 (2010-2014)","Percent of Households Earning $25,000 to $40,000 (2010-2014)","Percent of Households Earning $40,000 to $60,000 (2010-2014)","Percent of Households Earning $60,000 to $75,000 (2010-2014)","Percent of Households Earning More than $75,000 (2010-2014)",Percent of Family Households Living Below the Poverty Line (2010-2014),Percent of Children Living Below the Poverty Line (2010-2014)
Poppleton/The Terraces/Hollins Market,"5,086","2,403","2,683",82.9,12.7,1,1.4,0.4,1.7,30.9,7.4,18.1,10.5,54.6,9.3,"2,181",74.8,30.5,2.2,"17,228.33",62,13.7,9.6,5.2,9.5,52.2,71.6
Sandtown-Winchester/Harlem Park,"14,896","6,810","8,086",96.6,1.1,0.3,1,0.2,0.7,7.3,7.5,18.3,11.5,50.9,11.8,"5,541",73.4,34.8,2.6,"24,374.13",51.3,14,16.1,8.1,10.6,33.3,52
South Baltimore,"6,406","3,263","3,143",2.7,90.3,2.7,1.5,0.3,2.6,19.4,5.6,5,10.4,70.9,8.2,"3,107",18.1,14.6,2.1,"88,487.05",11.9,6.1,14.5,10,57.6,4.3,5.1
Southeastern,"6,260","2,972","3,288",25.4,49.2,1.8,2.2,1.5,19.9,73.4,8,15.1,10.4,53.7,12.8,"2,452",50.8,31.8,2.6,"32,102.23",38.5,22.3,15.9,8,15.4,25.6,53.3
Southern Park Heights,"13,284","6,037","7,247",95.7,1.6,0.2,1.1,0.4,0.9,9.3,8.2,17.7,11.1,50.6,12.5,"4,739",68.7,38.3,2.7,"26,015.22",48.4,19.5,13.8,6.7,11.6,36.6,52.9
Southwest Baltimore,"17,885","8,685","9,200",75.8,16.8,1.1,2.1,0.6,3.6,43.1,8,19.1,11,52,10,"6,288",63.5,36.4,2.8,"24,946.04",50.1,14.4,13.8,9.8,11.9,35.4,55
The Waverlies,"7,753","3,413","4,340",78.7,15,1.5,1.8,0.5,2.4,37.5,6.7,15.4,9.3,56,12.6,"3,279",59.7,28.8,2.4,"32,651.91",41.4,16.6,15.9,5.2,21,16.8,31.3
Upton/Druid Heights,"10,342","4,621","5,721",92.4,3.9,0.6,1.4,0.4,1.4,15.4,9.2,19.9,12.1,48.6,10.1,"4,439",77.4,32.1,2.4,"15,949.56",64.4,14.6,9.8,5.9,5.3,49.5,58.1
Washington Village/Pigtown,"5,503","2,743","2,760",49,39.1,5.3,2.5,0.7,3.4,61.2,7.2,13.8,11.3,59.5,8.1,"2,273",56.1,28.3,2.4,"48,175.04",36.1,9.6,16.3,11.4,26.6,25.1,30.5
Westport/Mount Winans/Lakeland,"7,119","3,447","3,672",65.5,17.2,2,1.8,0.4,13.1,62,8.7,20.7,10.9,51.3,8.4,"2,499",55.4,42.3,2.8,"41,367.65",37.7,11,23.7,7.6,19.9,28,46.9
Baltimore City,"6,20,961","2,92,249",328712,63.8,28.3,2.3,1.7,0.5,4.2,54.5,6.6,14.9,12.6,54.2,11.7,"2,49,903",54.9,28.4,2.4,"41,819.00",32.7,15.4,16.4,9.3,26.2,19.5,34.6
